tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,month
386,53:37.5,00:03.6,3351,E 102 St & 1 Ave,40.7869946,-73.94164802,3491,E 118 St & 1 Ave,40.79747,-73.93504,28791,Subscriber,1979,Jan-19
856,53:43.2,08:00.1,174,E 25 St & 1 Ave,40.7381765,-73.97738662,3243,E 58 St & 1 Ave,40.75892386,-73.96226227,27489,Subscriber,1975,Jan-19
316,53:42.7,58:59.2,446,W 24 St & 7 Ave,40.74487634,-73.99529885,3709,W 15 St & 6 Ave,40.73804614,-73.99642959,34390,Subscriber,1958,Jan-19
438,53:47.3,01:06.1,448,W 37 St & 10 Ave,40.75660359,-73.9979009,267,Broadway & W 36 St,40.75097711,-73.98765428,16878,Subscriber,1986,Jan-19
584,53:43.3,03:27.7,336,Sullivan St & Washington Sq,40.73047747,-73.99906065,3641,Broadway & W 25 St,40.74286877,-73.98918629,27093,Subscriber,1994,Jan-19
443,53:49.6,01:13.3,432,E 7 St & Avenue A,40.72621788,-73.98379855,285,Broadway & E 14 St,40.73454567,-73.99074142,33757,Subscriber,1984,Jan-19
380,53:45.5,00:05.7,3158,W 63 St & Broadway,40.77163851,-73.98261428,173,Broadway & W 49 St,40.76068327,-73.98452729,25065,Subscriber,1947,Jan-19
3080,53:45.8,45:06.0,3366,West End Ave & W 107 St,40.8021174,-73.96818053,496,E 16 St & 5 Ave,40.73726186,-73.99238967,33850,Customer,1969,Jan-19
3079,53:46.1,45:05.8,3366,West End Ave & W 107 St,40.8021174,-73.96818053,496,E 16 St & 5 Ave,40.73726186,-73.99238967,30833,Subscriber,1988,Jan-19
165,53:46.9,56:32.8,405,Washington St & Gansevoort St,40.739323,-74.008119,212,W 16 St & The High Line,40.74334935,-74.00681753,16444,Subscriber,1978,Jan-19
953,53:50.0,09:44.0,450,W 49 St & 8 Ave,40.76227205,-73.98788205,3170,W 84 St & Columbus Ave,40.78499979,-73.97283406,34988,Subscriber,1981,Jan-19
208,53:49.5,57:17.5,438,St Marks Pl & 1 Ave,40.72779126,-73.98564945,297,E 15 St & 3 Ave,40.734232,-73.986923,31917,Subscriber,1987,Jan-19
1904,53:48.5,25:33.1,3365,3 St & 7 Ave,40.6703837,-73.97839676,3349,Grand Army Plaza & Plaza St West,40.6729679,-73.97087984,26405,Subscriber,1991,Jan-19
158,53:49.6,56:28.3,469,Broadway & W 53 St,40.76344058,-73.98268129,3443,W 52 St & 6 Ave,40.76132983,-73.97982001,14590,Subscriber,1961,Jan-19
1907,53:52.3,25:39.7,3365,3 St & 7 Ave,40.6703837,-73.97839676,3349,Grand Army Plaza & Plaza St West,40.6729679,-73.97087984,16894,Subscriber,1991,Jan-19
608,53:54.5,04:03.1,497,E 17 St & Broadway,40.73704984,-73.99009296,401,Allen St & Rivington St,40.72019576,-73.98997825,20544,Subscriber,1972,Jan-19
533,53:54.9,02:48.8,3377,Carroll St & Bond St,40.6786115,-73.99037292,3232,Bond St & Fulton St,40.68962189,-73.98304269,32968,Subscriber,1990,Jan-19
474,53:56.5,01:50.6,448,W 37 St & 10 Ave,40.75660359,-73.9979009,3659,W 17 St & 9 Ave,40.74294892,-74.00413692,29118,Subscriber,1981,Jan-19
312,53:55.4,59:08.3,3087,Metropolitan Ave & Meeker Ave,40.71413311,-73.95234386,3096,Union Ave & N 12 St,40.71924,-73.95242,33950,Subscriber,1983,Jan-19
563,53:56.9,03:20.3,3686,Gansevoort St & Hudson St,40.7394482,-74.00507033,486,Broadway & W 29 St,40.7462009,-73.98855723,35074,Subscriber,1992,Jan-19
